Deal_Id,Deal_Name,Manager_name,Trustee_name,Issuer_name,MvCoverage,NavWithoutIncentive,Deal_closedDate,Reinvestment_endDate,Was,Intex_Asset_Was,Warf_Test_Value,Diversity_Test_Value,Cur_Deal_Balance,Collection_Acc_Principal_bal,Cur_Collat_Balance,DefaultedTot,Inv_value,WAS,WAC,BELOW70,BELOW80,BELOW90,WAPP_ORIGINAL,WAPP_OVERRIDE,WAPP_OVERRIDE2,COUPON,BELOW101,ABOVE100,MOODYSCAA1BELOW,SPCCCBELOW,CAA1ORCCCBELOW,MOODYS_RATING_B3_FV,SP_RATING_BMINUS_FV,BELOW70_ORIG,BELOW80_ORIG,BELOW90_ORIG,BELOW101_ORIG,ABOVE100_ORIG,WTD_AVG_COVID_SCORE,ABOVE100_5_ORIG,ABOVE99_ORIG,WTD_AVG_ENERGY_RATING,PCT_FIXED,PCT_LOANPART,PCT_COV_LITE,PCT_SENIOR_SEC,WAL_LIMIT,PCT_CCC_OR_LESS,PCT_FI_CCC_OR_LESS,PCT_CAA1_OR_LESS,WAS_ALL_ASSET,WAC_FIXED_ASSET,WAC_FLOATING_ASSET,DEAL_SEN_MGT_FEES,DEAL_SUB_MGT_FEES,DEAL_INC_MGT_FEES,DEAL_INC_MGT_FEE_IRR_THRESHOLD,DEAL_INC_MGT_FEE_IRR_BALANCES,DEAL_INC_MGT_FEE_EXCESS_PCTS,DEAL_INC_MGT_FEE_IRR_ORIG_PX,DEAL_LAST_REFI_DATE,WASFL_ALL_ASSET,DEAL_INT_DIV_TEST_ACTUAL,DEAL_INT_DIV_TEST_THRESHOLD,WAL,COLLAT_TYPE,NON_CALL_DATE,YEAR2023,YEAR2024,YEAR2025,YEAR2026,YEAR2027,YEAR2028,YEAR2029,YEAR2030,YEAR2031,YEAR2032,DEFAULTED_SEC_BALANCE,EQUITYNAV90,RECOVERY_RATE_FITCH,RECOVERY_RATE_MOODY,RECOVERY_RATE_SP,ORIG_COLLAT_BALANCE,DEAL_COLLAT_FACTOR,AMENDED_COLLAT_BALANCE,FACTORS_YYYYMMDD,FITCH_RATING_BMINUS_FV,OVERRIDEPERCENT,WARF_TEST_TRIGGER,DIVERSITY_TEST_TRIGGER,FIRST_PAY_DATE,NEXT_PAY_DATE,SP_CC_PER,MOODYS_CC_PER,FITCH_CC_PER,DERIVED_CC_PER,DEFAULTED_WAVG,EQUITYNAV95,UBERSCORE,CONVICTION,PCTSCORE,RANKUB,RANKCONV
ABCVE1C,AB CarVal Euro CLO I-C,CarVal,Deutsche Trustee Company,AB CarVal Euro CLO,0.7638995304481378543635352974,0.9548744130601723179544191217,20/12/2023,25/07/2028,4.117898,4.23,0,0,330080000,-7754384.47,338622761.70,0,336210765.851905,4.117898,7.613158,0,0,0.0176009301030989,98.7211902140362232,99.2877041584886466,99.5430207230226189,5.4750,1,0.0348207923791202,0,0.0146477910,0.0146477910,0,0.2791542730,0,0.0116946525984228,0.0279036929253182,0.9970468612476620,0.4232220762730847,0.187524,0.0132891243855212,0.7618602847452945,3.895368,5.74,0,0,100,8,1.50,2.55,,4.1420,4.535556,7.801631,0.100001,0.200001,0,12,34967559.22,20,95,,4.019877,112.50,108.21,4.65,High-Yield Loans,20/06/2025,,,,4.1343942533,4.4559172349,40.5564265469,27.6456577107,7.5148467198,15.6927575344,,0,97.91185060,95,,87.50,330000000,1.026130,,12/08/2024,0.2193907520,85.93,,,25/07/2024,25/10/2024,86.990830,0,83.614010,86.532040,0,93.626053,3.173250,3.284290,0.741620,0.198370,0.2813
ABCVE2C,AB CarVal Euro CLO II-C,CarVal,Deutsche Trustee Company,AB CarVal Euro CLO,0.1411349485714285714285714286,0.1764186857142857142857142857,30/08/2024,15/02/2029,4.194162,0,0,0,360500000,0,350000000,0,331674654,4.194162,7.710798,0,0,0.0060088069942441,99.3256168809987591,99.6484490384351026,94.616804,4.908001,0.9969955965028779,0.0105154122399272,0,0,0,0,0.2342857140,0,0,0,0.9834757807658286,0.4580213131362589,0.297143,0.0375550437140258,0.8107225796813099,3.784906,,,,,,,,,4.207340,4.501667,7.854490,0.100001,0.200001,0,12,29681995,20,84.8057,,0.192929,107.527001,103.530001,,High-Yield Loans,02/03/2026,,,,,,,,,,,,70,95,,60,350000000,1,,01/08/2024,0.2164285710,88.39,,,15/02/2025,15/02/2025,0,0,92.9170,92.9170,0,66.62761430,3.212250,3.341130,0.6470,0.336590,0.4065
ACCUE1,Accunia European CLO I,Accunia Credit Management,BNY Mellon Corporate Trustee Services,Accunia European CLO,0.2590305381320296940068803187,0.3237881726650371175086003983,04/08/2016,15/05/2021,4.054302,3.98,3228,33,277096672.40,-2718208.33,252727630.75,0.732049,242467701.506291,4.054302,7.289481,0.0240886632060511,0.0577217090854242,0.1538725810256503,95.3513633415231548,95.9403215194348115,96.7339324532706244,4.6350,1,0.0226622096404866,0.0978162950,0,0.0978162950,0.2966614090,0,0.0240886632060511,0.0418943933774839,0.1503905715699034,1,0.2133632795115340,0.918603,0.0150359499225432,0.4929244212447475,3.445448,4.40,0,3.90,98.40,1.21,,3.40,8.20,3.932154,2.551893,7.708738,0.15,0.35,0,12,24818709.53,20,100,15/05/2019,3.566964,105.58,104.99,3.52,High-Yield Loans,15/05/2020,,2.6629458679,3.2662366657,19.3457687887,20.0040785726,23.3815196639,25.9185944155,4.8273316866,0.5935243390,,12678603.85,36.44143110,80,50,,410000000,0.616409,,30/08/2024,0.2534270740,66.35,3146,43,15/01/2017,15/10/2024,0,77.948560,76.144370,76.672820,73.204930,32.59879940,3.062970,3.013610,0.563160,0.029270,0.019510
ACCUE2,Accunia European CLO II,Accunia Credit Management,BNY Mellon Corporate Trustee Services,Accunia European CLO,0.1182773463915942028985507246,0.1478466829894927536231884058,24/10/2017,15/10/2021,4.229887,4.23,3314,27,188601506.77,10280645.24,150052151,0.837450,143041714.205766,4.229887,7.443698,0.0457707533962642,0.0724281519963016,0.1740234966708341,95.3225628818297980,95.3279998032150835,96.2866508901961692,4.615001,1,0.0141291090189037,0.1192440610,0.13094266,0.1558979840,0.2866527190,0.3098086690,0.0257777044462362,0.0457707533962642,0.1473660980707967,1,0.2314543038440015,0.969820,0,0.5087106863932927,3.516954,3.10,0,1.90,96.30,1.15,10.50,,13.20,4.062611,1.781098,7.858868,0.15,0.35,0,12,47299796.95,20,100,,3.540721,103.66,0,3.58,High-Yield Loans,15/10/2019,,4.9316187410,5.2516593448,17.1039006099,18.3951488973,17.5733043707,30.2546243472,6.4897436892,,,5400000,20.40788110,64,50,65,375000000,0.400140,,30/08/2024,0,69.86,2955,44,15/04/2018,15/10/2024,80.634760,78.199420,0,82.477020,83.7450,17.12964980,3.103510,2.918580,0.569760,0.055280,0.011380
ACCUE3,Accunia European CLO III,Accunia Credit Management,BNY Mellon Corporate Trustee Services,Accunia European CLO,0.3407710104572010723860589812,0.4259637630715013404825737265,02/08/2018,02/08/2022,4.068470,3.99,3195,39,297192294.79,9377721.80,274814004.86,0.799364,266403021.352567,4.068470,7.323160,0.0181941237039472,0.0454853092598681,0.1149485620869024,96.3429115634056118,96.9393905109439916,97.5577540995936709,4.5580,1,0.0056106792329798,0.07928808,0,0.07928808,0.3072998180,0,0.0072776494815789,0.0309300102967103,0.1047598528126919,1,0.1956158557399075,0.741348,0,0.5264766709531661,3.386028,5.10,0,12.10,97.40,2.43,,3.20,6.90,3.973271,2.918690,7.720761,0.15,0.35,0,12,26530418.01,20,100,,3.722723,106.840001,103.870001,3.66,High-Yield Loans,02/08/2020,,1.8921888652,2.5417104174,17.0547353669,16.4353507249,30.5444586140,25.1636127152,4.9124134001,1.4555298963,,8700000,50.42150870,90,60,,350000000,0.785183,,30/08/2024,0.2115477110,75.57,3081,48,20/01/2019,20/10/2024,0,79.979030,78.808150,81.718420,79.936440,42.717628,3.073890,2.979070,0.584470,0.034150,0.014630
ACCUE4,Accunia European CLO IV,Accunia Credit Management,BNY Mellon Corporate Trustee Services,Accunia European CLO,0.3717644470313922480620155039,0.4647055587892403100775193798,10/03/2020,20/10/2024,4.025076,4.09,3054,51,404850000,-17727433.68,417432178.87,0.790701,405314187.950953,4.025076,7.392540,0.0155713917829614,0.0443185766130440,0.1137553765944532,96.4757001956120422,97.0970156271124753,97.5271975743479174,4.668001,1,0.0153255232198865,0.0720240470,0.0634257640,0.0866371990,0.2760953660,0.2665589680,0.0083845955754408,0.0395273791413636,0.1101619784906929,0.9944901229075675,0.2677572554003041,0.500584,0.0103010745641129,0.5978137963765266,3.531686,7.20,0,13.30,96.50,4.03,3.70,,6.40,4.100651,4.818456,7.663553,0.15,0.35,0,10,15308048.09,20,95,,3.820426,104.760001,103.85,4.03,High-Yield Loans,20/04/2022,,2.0434457217,2.4310478956,9.0297696651,11.5068024056,34.3188559511,29.0106994549,6.2764685466,4.1851109915,1.1977993679,12000000,56.33500750,80,60,70,400000000,1.043580,,30/08/2024,0,77.66,3165,50,20/10/2020,20/10/2024,81.405940,80.229590,0,85.501980,79.070130,45.45606240,3.136940,3.154310,0.661860,0.110570,0.0748
ADAGIO10,Adagio X EUR CLO,AXA Investment Managers,BNY Mellon Corporate Trustee Services,Adagio CLO,0.1678704822233802816901408451,0.2098381027792253521126760563,18/11/2022,20/07/2028,3.974256,4.05,2926,64,332260000,-9682035.22,339874072.99,0.132250,330721736.279465,3.974256,7.373546,0.0244460203654442,0.0364166372889649,0.0614259000586204,96.4912553169957526,97.3071388972146498,98.2337670189145839,5.4380,1,0.0599287237499852,0.0526994770,0.0334743710,0.0674108080,0.3027530370,0.2540137260,0.0244460203654442,0.0511279683299387,0.0849640297241786,0.9990172830864629,0.3506726230438493,0.188411,0.0106268117136027,0.6270276969207659,3.590029,8.04,0,16.14,96.95,6.26,3.47,4.43,,3.962405,3.821305,7.671896,0.100001,0.200001,0,12,11649678.14,20,100,21/11/2023,3.852625,0,0,4.48,High-Yield Loans,21/05/2025,,,,4.3289078954,10.9751019376,37.1542815370,24.8967516544,8.1498087884,14.4951481873,,2500000,31.12028260,98,,60,330000000,1.029922,,20/08/2024,0.2135477370,76.10,,,20/07/2023,20/10/2024,80.118150,70.603650,83.449910,84.798450,13.2250,11.92364830,3.207380,3.273510,0.697430,0.302440,0.261790
ADAGIO12,Adagio XII EUR CLO,AXA Investment Managers,BNY Mellon Corporate Trustee Services,Adagio CLO,-0.8971562236286919831223628692,-0.8971562236286919831223628692,29/08/2024,20/04/2029,4.0245,0,0,0,352950000,0,350000000,0,305987397.50,4.0245,7.422495,0,0,0.0226720647773279,98.3260925441295547,99.10522995951417,87.7715807142857143,4.621001,1,0,0,0.0157142860,0.0157142860,0,0.2414285710,0,0,0.0356275303643725,1,0.3571400809716599,0.260569,0.0080971659919028,0.6599190283400810,3.581710,,,,,,,,,3.994214,3.591837,7.710824,0.15,0.35,0,12,23700000,20,100,,3.965336,106.9520,102.950001,,High-Yield Loans,28/02/2026,,,,,,,,,,,,90.93071730,100,,60,350000000,1,,01/08/2024,0.2071428570,82.14,,,20/04/2025,20/04/2025,95.334270,0,92.639670,94.383240,0,79.83744730,3.2315,3.269410,0.653290,0.4439,0.252030
ADAGIO4,Adagio IV CLO,AXA Investment Managers,BNY Mellon Corporate Trustee Services,Adagio CLO,0.1915943105490164533820840951,0.2394928881862705667276051188,08/09/2015,15/07/2025,3.906548,3.89,2937,68,426900000,-7990263.50,408168502.74,0.150593,393290524.483789,3.906548,7.359978,0.0304922221740563,0.0569141338541687,0.0914264327342545,95.6387373737833017,96.3549420986368587,97.3313629252092349,4.5050,1,0.0524413077106901,0.0817998810,0.0621493080,0.0954484670,0.2254741020,0.2358145120,0.0304922221740563,0.0630106603457905,0.1089028751645610,0.9991841604686187,0.3532369401904625,0.334705,0.0091962875498775,0.63616039963133,3.657755,7.73,0,16.45,95.34,5.16,4.94,,7.24,3.894907,3.750641,7.651202,0.15,0.25,0,12,39828219.30,20,100,15/04/2021,3.720504,106.05,103.50,4.46,High-Yield Loans,15/10/2022,,,0.4899937125,4.6613356009,11.4662836465,36.2630273420,23.6613306224,9.1879604301,14.2700686454,,5836544.03,26.85754570,98,60,70,350000000,1.166197,400000000,20/08/2024,0,73.84,3118,60,15/04/2016,15/10/2024,62.356410,69.8984,0,81.905070,15.059260,21.30371520,3.242380,3.335630,0.652620,0.508940,0.386990
ADAGIO5,Adagio V CLO,AXA Investment Managers,BNY Mellon Corporate Trustee Services,Adagio CLO,0.1805320713181798941798941799,0.2256650891477248677248677249,15/09/2016,15/01/2023,3.778502,3.77,3062,53,354444387.19,32593681.52,303047210.41,0.193966,292580846.039784,3.778502,7.331271,0.0277284926946904,0.0398781685983842,0.0747357020358589,95.7112066143206047,96.5462924552779090,97.3536584947254258,4.405001,1,0.0240460426616075,0.1013940390,0,0.1013940390,0.28896805,0,0.0277284926946904,0.0473027543484260,0.0936179818372742,1,0.2418172238604505,0.673266,0.0032998158889075,0.5969256823557639,3.518025,4.81,0,7.72,97.51,3.66,,4.86,5.86,3.783292,3.869959,7.522601,0.100001,0.35,0,12,43839498.81,20,95,29/03/2021,3.794556,104.38,103.97,3.69,High-Yield Loans,15/10/2020,,,1.6141195008,6.4064170245,24.8279565148,41.0572890513,22.9333418301,3.1608760784,,,5357009.43,26.13233060,100,60,,350000000,0.865849,,20/08/2024,0.22821447,76.79,3032,54,15/04/2017,15/10/2024,0,80.6947,71.173750,85.005550,19.396640,20.305655,3.194110,3.229110,0.630970,0.252030,0.178860
